PC1,Fatigue
2.10257094491112,-1.7214315985094184
2.371895676239944,-1.705338634373177
2.294477786931815,-1.705338634373177
2.168653732418003,-1.6731527061006934
2.341794524735004,-1.7589818481606487
2.141148039300313,-1.6516954205857046
2.096283837862045,-1.5980522067982323
2.110198982960697,-1.6516954205857046
2.4128156876040427,-1.490765779223288
2.270104667248396,-1.683881348858188
2.069064444498877,-1.5980522067982323
-1.5846277327246303,-0.8363185710161278
-1.6112211665616825,-0.7183035006836891
-1.5899591356759926,-0.8148612855011389
-1.3708995862165432,-0.8524115351523694
-1.6094333825013325,-0.6807532510324585
-1.3330970995798608,-0.6807532510324585
-1.6212697603547992,-0.5305522524275366
-1.5025268177057325,-0.7236678220624363
-1.71583640977103,-0.7343964648199307
-1.6172226930613782,-0.8470472137736222
-1.7077189365252796,-0.643203001381228
-1.37031026718456,-0.9328763558335776
-1.6648882863021337,-0.916783391697336
-1.6914817201391856,-0.9006904275610944
-1.6702196892534955,-1.0079768551360386
-1.4511601397940463,-0.9328763558335776
-1.6896939360788354,-0.943604998591072
-1.413357653157364,-0.8524115351523694
-1.7015303139323024,-0.6861175724112057
-1.5827873712832354,-0.8470472137736222
-1.796096963348533,-0.8577758565311167
-1.6974832466388814,-0.9543336413485666
-1.7879794901027828,-0.8792331420461055
-1.4505708207620631,-1.0455271047872692
-1.7451488398796369,-1.1206276040897305
-1.771742273716689,-0.9865195696210498
-1.7504802428309991,-1.2225497102859273
-1.5314206933715495,-1.1528135323622135
-1.7699544896563388,-1.0240698192722804
-1.4936182067348671,-1.0294341406510277
-1.7817908675098058,-0.9006904275610944
-1.6630479248607388,-1.0991703185747412
-1.8763575169260365,-0.991883890999797
-1.7777438002163848,-1.1367205682259718
-1.8682400436802864,-1.0079768551360386
-1.5308313743395665,-1.2225497102859273
-2.071156622980308,-0.2140572910814508
-2.205842996278333,-0.5627381807000198
-1.6555593647863247,-0.4715447172613171
-2.1349127836135056,-0.5734668234575142
-2.0731385494254826,-0.6217457158662392
-2.241113576141947,-0.2730648262476702
-1.959445166761624,-0.4715447172613171
-2.0171622383301773,-0.417901503473845
-2.34956421454233,-0.2623361834901757
-1.8222538388606693,-0.3588939683076256
-1.9731934332275651,-0.541280895185031
-2.1514171765578114,-0.5037306455338004
-2.286103549855836,-0.7397607861986779
-1.735819918363828,-0.6217457158662392
-2.2151733371910085,-0.7397607861986779
-2.153399103002986,-0.8148612855011389
-2.3213741297194503,-0.4822733600188116
-2.039705720339127,-0.5949241089725031
-2.0974227919076807,-0.616381394487492
-2.429824768119833,-0.4554517531250755
-1.9025143924381724,-0.541280895185031
-2.053453986805069,-0.7022105365474474
-2.2316777301353152,-0.7504894289561723
-2.36636410343334,-0.8470472137736222
-1.8160804719413317,-0.8309542496373806
-2.2954338907685123,-0.9382406772123248
-2.2336596565804894,-0.9704266054848082
-2.4016346832969537,-0.7397607861986779
-2.1199662739166305,-0.841682892394875
-2.177683345485184,-0.8845974634248527
-2.5100853216973373,-0.7397607861986779
-1.982774946015676,-0.8309542496373806
-2.1337145403825724,-0.916783391697336
-2.5307656249032946,-0.1604140772939786
-2.50830627336708,-0.1014065421277593
-2.4317666559253905,-0.342801004171384
-2.1234681951868586,-0.2837934690051646
-2.366132667923419,-0.3106150758989007
-2.567788132876269,-0.1657783986727259
-2.454390729872571,-0.1174995062640009
-2.659804010476208,-0.1067708635065065
-2.370045938628816,-0.3267080400351423
-2.5045736805254166,-0.2569718621114285
-2.149846677154226,-0.0638562924765288
-2.611026178480797,-0.4554517531250755
-2.5885668269445827,-0.5037306455338004
-2.512027209502894,-0.5841954662150087
-2.203728748764362,-0.5090949669125476
-2.4463932215009225,-0.5788311448362614
-2.648048686453772,-0.4769090386400644
-2.534651283450074,-0.4661803958825699
-2.740064564053711,-0.3588939683076256
-2.450306492206319,-0.493002002776306
-2.58483423410292,-0.4769090386400644
-2.2301072307317296,-0.417901503473845
-2.691286732058301,-0.7183035006836891
-2.668827380522086,-0.7236678220624363
-2.5922877630803973,-0.8094969641223917
-2.2839893023418654,-0.8309542496373806
-2.526653775078426,-0.7612180717136667
-2.728309240031276,-0.6700246082749641
-2.614911837027577,-0.7397607861986779
-2.8203251176312145,-0.6861175724112057
-2.5305670457838225,-0.7558537503349195
-2.6650947876804234,-0.766582393092414
-2.310367784309233,-0.7397607861986779
-1.1004982647896773,0.156080884052107
-0.81056920927371,-0.1550497559152314
-0.7694029230146773,0.1614452054308542
-1.0736121662092826,0.0863447061283932
-0.660761665555292,-0.0906778993702648
-0.8966691145957607,0.1292592771583709
-0.890700152669302,0.0648874206134043
-0.8443810771128418,0.0487944564771627
-1.1807588183671804,-0.1657783986727259
-0.8908297628512134,-0.2623361834901757
-0.8496634765921807,-0.1979643269452091
-1.153872719786786,-0.1926000055664619
-0.7410222191327954,-0.2247859338389452
-0.9769296681732642,-0.1872356841877147
-0.9709607062468052,-0.1550497559152314
-0.9246416306903452,-0.267700504868923
-1.2610193719446836,-0.3749869324438672
-0.9710903164287163,-0.5144592882912948
-0.9299240301696838,-0.3803512538226145
-1.2341332733642891,-0.444723110367581
-0.8212827727102986,-0.5037306455338004
-1.0571902217507672,-0.3374366827926368
-1.0512212598243085,-0.3642582896863728
-1.0049021842678487,-0.3749869324438672
-0.418432705881625,0.1829024909458431
-0.6777485966962572,0.0970733488858876
-0.5115727986889224,0.1346235985371181
-0.3817390614020187,-0.144321113157737
-0.4645106002703892,-0.096042220749012
-0.428253888418675,0.1024376702646348
-0.4236896511997922,0.0487944564771627
-0.38361661211575,0.0541587778559099
-0.7184608750644859,0.1614452054308542
-0.3626105063482373,0.1721738481883487
-0.7455831033373715,0.2097240978395791
-0.5020277253588907,0.1078019916433821
-0.561391213055794,-0.0906778993702648
-0.3937942766647985,0.0219728495834266
-0.4986932594591284,-0.0048487573103094
-0.7580091502737606,-0.1818713628089675
-0.5918333522664257,-0.1550497559152314
-0.4619996149795221,-0.2408788979751868
-0.5447711538478927,-0.3374366827926368
-0.5085144419961786,-0.0155774000678038
-0.5039502047772956,-0.2033286483239564
-0.4638771656932534,-0.1228638276427481
-0.7987214286419893,-0.0370346855827927
-0.4428710599257406,-0.096042220749012
-0.8258436569148749,-0.0155774000678038
-0.5822882789363941,-0.0584919710977815
-0.6416517666332974,0.2097240978395791
-0.4740548302423019,-0.1550497559152314
-0.5789538130366317,-0.2998864331414063
-0.8382697038512638,-0.3320723614138895
-0.6720939058439289,-0.4822733600188116
-0.5422601685570252,-0.4769090386400644
-0.6250317074253959,-0.5037306455338004
-0.5887749955736817,-0.342801004171384
-0.5842107583547987,-0.4071728607163505
-0.5441377192707566,-0.4500874317463283
-0.8789819822194924,-0.3052507545201535
-0.5231316135032438,-0.4608160745038227
-0.9061042104923782,-0.2247859338389452
-0.6625488325138973,-0.3374366827926368
-0.7219123202108005,-0.1604140772939786
-0.5543153838198052,-0.4125371820950977
-0.5056734240186379,0.306281882657029
-0.6046334875735346,0.1507165626733598
-0.8725072500428049,0.3867467033382373
-0.54913311977005,0.0487944564771627
-0.5271541376771932,0.4403899171257094
-0.529421055885032,0.0702517419921515
-0.4997886722106623,0.4564828812619511
-0.7888334576467503,0.2848245971420402
-0.6930008958423485,0.156080884052107
-0.5786481080240123,0.4350255957469622
-0.5857411845172161,0.1721738481883487
-0.5176657536765917,0.2687316330057985
-0.4926315497982012,0.3867467033382373
-0.5662802631575297,0.4189326316107206
-0.8603662939613669,0.3867467033382373
-0.5859339775961413,-0.0102130786890566
-0.684894041151038,-0.0745849352340232
-0.9527678036203082,0.0595230992346571
-0.6293936733475534,-0.0155774000678038
-0.6074146912546966,0.1989954550820847
-0.6096816094625354,-0.1389567917789898
-0.5800492257881658,0.0219728495834266
-0.8690940112242537,-0.0102130786890566
-0.7732614494198519,0.1614452054308542
-0.6589086616015157,0.0917090275071404
-0.6660017380947196,-0.0531276497190343
-0.5979263072540951,-0.0531276497190343
-0.5728921033757046,0.0541587778559099
-0.646540816735033,0.1292592771583709
-0.9406268475388704,0.1346235985371181
-0.6661945311736445,-0.3374366827926368
-0.7651545947285413,-0.3052507545201535
-1.0330283571978112,-0.2247859338389452
-0.7096542269250568,-0.3159793972776479
-0.6876752448321998,-0.1926000055664619
-0.6899421630400383,-0.3910798965801089
-0.6603097793656693,-0.2730648262476702
-0.9493545648017568,-0.2623361834901757
-0.8535220029973554,-0.2569718621114285
-0.739169215179019,-0.2730648262476702
-0.7462622916722229,-0.3052507545201535
-0.6781868608315983,-0.2784291476264174
-0.6531526569532078,-0.1926000055664619
-0.7268013703125362,-0.1604140772939786
-1.020887401116373,-0.1979643269452091
-1.0824615654738032,-0.3588939683076256
-1.0414576927998185,-0.6753889296537113
-1.4110509782057632,-0.2301502552176924
-1.0877920214580763,-0.5466452165637782
-1.2150262689937532,-0.6861175724112057
-1.0377549987152257,-0.6485673227599753
-1.4451182649072678,-0.3803512538226145
-1.1627221190513068,-0.6324743586237336
-1.1217182463773214,-0.7880396786074029
-1.4913115317832664,-0.444723110367581
-1.1680525750355797,-0.616381394487492
-1.2952868225712566,-0.7987683213648973
-1.118015552292729,-0.7880396786074029
-1.5253788184847712,-0.5895597875937559
-1.2429826726288102,-0.8363185710161278
-1.2019787999548246,-0.9006904275610944
-1.5715720853607698,-0.6861175724112057
-1.2483131286130826,-0.841682892394875
-1.3755473761487598,-0.9275120344548304
-1.1982761058702325,-1.018705497893533
-1.6056393720622746,-0.8309542496373806
-1.1294956160735328,-0.2569718621114285
-1.1533621301267711,-0.0906778993702648
-1.0949140311507215,-0.36962261106512
-1.0755034046089609,-0.3106150758989007
-1.5553010554558833,-0.0102130786890566
-1.1847713096385208,-0.4071728607163505
-1.1436458314469755,-0.1228638276427481
-1.4900556618570098,-0.1979643269452091
-1.1265301089905049,-0.5788311448362614
-1.2162106040228156,-0.0102130786890566
-1.416731287446184,-0.2301502552176924
-1.093042461092435,-0.5895597875937559
-1.2097561696510362,-0.5573738593212726
-1.2336226837042743,-0.2730648262476702
-1.1751745847282251,-0.5466452165637782
-1.1557639581864645,-0.5037306455338004
-1.6355616090333869,-0.2998864331414063
-1.2650318632160242,-0.5466452165637782
-1.2239063850244791,-0.2998864331414063
-1.5703162154345132,-0.493002002776306
-1.206790662568008,-0.8255899282586333
-1.296471157600319,-0.2730648262476702
-1.496991841023687,-0.3374366827926368
-1.1733030146699384,-0.691481893789953
-1.290016723228539,-0.7612180717136667
-1.3138832372817777,-0.5627381807000198
-1.2554351383057285,-0.7987683213648973
-1.2360245117639674,-0.7612180717136667
-1.7158221626108898,-0.616381394487492
-1.3452924167935274,-0.766582393092414
-1.3041669386019823,-0.5520095379425254
-1.6505767690120163,-0.766582393092414
-1.2870512161455112,-0.9114190703185888
-1.376731711177822,-0.4983663241550532
-1.5772523946011905,-0.5949241089725031
-1.2535635682474415,-0.8255899282586333
0.0175021958445537,0.0541587778559099
-0.2196549823395632,-0.1228638276427481
-0.1967667786384439,0.0917090275071404
-0.2437863764107242,0.1346235985371181
-0.0906310116985959,-0.0853135779915176
-0.1161108098477769,0.0863447061283932
-0.1041910417220243,0.1238949557796237
-0.1740125312991524,-0.020941721446551
-0.130495802918023,-0.1657783986727259
-0.288438721817003,0.0917090275071404
-0.0627583577329494,-0.2301502552176924
-0.2999155359170664,-0.2301502552176924
-0.2770273322159472,-0.1926000055664619
-0.3240469299882276,-0.069220613855276
-0.1708915652760992,-0.1872356841877147
-0.1963713634252802,-0.1604140772939786
-0.1844515952995275,-0.0853135779915176
-0.2542730848766557,-0.0906778993702648
-0.2107563564955263,-0.267700504868923
-0.3686992753945062,-0.069220613855276
-0.1430189113104528,-0.3374366827926368
-0.3801760894945699,-0.4071728607163505
-0.3572878857934505,-0.3749869324438672
-0.4043074835657311,-0.267700504868923
-0.2511521188536025,-0.4393587889888338
-0.2766319170027835,-0.4125371820950977
-0.264712148877031,-0.2730648262476702
-0.334533638454159,-0.3052507545201535
-0.2910169100730296,-0.4393587889888338
-0.4489598289720096,-0.2998864331414063
-0.4448878656682916,0.2043597764608319
-0.5448564119943761,0.1989954550820847
-0.5531691207618371,0.2848245971420402
-0.7121586226325063,0.1668095268096014
-1.383313980477899,0.2740959543845457
-0.6251294264729244,0.2043597764608319
-0.5364894684798878,0.1882668123245903
-0.5302865288767608,0.1882668123245903
-0.4738703855320753,-0.0155774000678038
-0.4083337481409154,0.3009175612782818
-0.5654564198179155,0.2740959543845457
-0.5374430799177075,0.354560775065754
-0.5294846569656247,0.4833044881556871
-0.635749654668094,0.0863447061283932
-0.5251484192457948,-0.0102130786890566
-0.6251169655718793,-0.0531276497190343
-0.6334296743393404,-0.0531276497190343
-0.7924191762100097,-0.1550497559152314
-1.4635745340554027,0.0970733488858876
-0.7053899800504276,-0.0584919710977815
-0.6167500220573909,-0.1174995062640009
-0.610547082454264,-0.1174995062640009
-0.5541309391095787,-0.219421612460198
-0.4885943017184186,0.0541587778559099
-0.6457169733954188,-0.0155774000678038
-0.617703633495211,0.1614452054308542
-0.609745210543128,0.1614452054308542
-0.7160102082455972,-0.0155774000678038
-0.6054089728232982,-0.3803512538226145
-0.7053775191493826,-0.3803512538226145
-0.7136902279168438,-0.3374366827926368
-0.8726797297875126,-0.4125371820950977
-1.543835087632906,-0.3749869324438672
-0.7856505336279306,-0.3910798965801089
-0.6970105756348939,-0.3320723614138895
-0.6908076360317672,-0.4393587889888338
-0.6343914926870818,-0.4500874317463283
-0.5688548552959218,-0.3374366827926368
-0.7259775269729221,-0.3749869324438672
-0.6979641870727143,-0.2945221117626591
-0.6900057641206313,-0.3320723614138895
-0.7962707618231003,-0.4822733600188116
-0.9573164572176088,0.2526386688695569
-0.9249535045742217,0.3331034895507651
-0.8617654195021778,0.2901889185207874
-0.8267220366908453,0.231181383354568
-0.8368010518037077,0.3491964536870068
-1.083895066582349,0.1721738481883487
-1.037577010795112,-0.0102130786890566
-1.0052140581517248,0.0166085282046794
-0.9420259730796812,-0.0155774000678038
-0.9069825902683484,-0.0853135779915176
-0.917061605381211,-0.0531276497190343
-1.1641556201598524,-0.0531276497190343
-1.117837564372615,-0.4393587889888338
-1.085474611729228,-0.4125371820950977
-1.022286526657184,-0.3803512538226145
-0.9872431438458512,-0.4071728607163505
-0.997322158958714,-0.3320723614138895
-1.2444161737373556,-0.3964442179588561
-1.691550187896525,1.2235808384228029
-1.9744542332674544,0.778342163986784
-1.87242538409102,1.8941210107662048
-1.8039149629050293,1.003643661894167
-2.08681900827596,0.6710557364118397
-1.9847901590995247,1.1645733032565837
-1.238591095199378,1.2933170163465166
-1.5571082724878362,1.6205406204500967
-1.5113274827179977,1.153844660499089
-1.3509558702078823,1.0304652687879032
-1.669473047496341,0.826621056395509
-1.6236922577265025,0.8856285915617284
-1.3549782344124617,1.722462726646294
-1.347308763898339,1.4810682646026692
-1.1588593697072926,0.7890708067442784
-1.5156340490562492,1.357688872891483
-1.4913654147081052,0.8963572343192228
-1.2818638255002903,0.7246989501993119
7.593190169795816,2.580754147245848
7.459471712144999,3.1440078920143057
7.682879683861359,2.4090958631259376
8.324528295960166,2.698769217578287
8.190809838309345,3.063543071333098
8.414217810025708,2.8382415734257145
9.530757206535029,2.6880405748207927
9.397038748884205,3.417588282330414
9.620446720600569,2.049686330749874
8.260319853098164,2.59684711138209
8.126601395447343,2.9884425720306367
8.350009367163706,2.5861184686245955
7.7391581104444,2.0067717597198964
7.6203487110161054,2.26962350727851
7.772782080096666,2.323266721065982
8.628713913633488,2.162337079703565
8.509904514205191,2.108693865916093
8.662337883285753,2.8757918230769453
9.997548493059949,2.1837943652185543
9.87873909363165,2.5753898258671013
10.031172462712211,2.8275129306682203
8.564505470771486,1.990678795583655
8.445696071343189,2.446646112777168
8.598129440423751,2.6826762534420454
7.708746314481721,1.6151762990713496
7.505888140097683,2.859698858940704
7.868927889876768,1.8029275473275024
9.206914276031862,1.776105940433766
9.004056101647823,2.7041335389570342
9.367095851426908,1.8619350824937213
10.324052905783065,1.7331913694037884
10.121194731399024,2.763141074123254
10.48423448117811,1.529347157011394
9.14270583316986,1.7170984052675466
8.93984765878582,3.042085785818109
9.302887408564906,1.8512064397362271
7.988511849972956,2.795327002395737
7.909584404156571,2.4305531486409264
8.084722853204841,1.6366335845863385
8.911588804342996,3.170829498908042
8.83266135852661,2.548568218973365
9.00779980757488,2.119422508673588
9.96224214989744,2.8275129306682203
9.883314704081052,2.55929686173086
10.058453153129324,2.167701401082313
8.847380361480994,2.956256643758153
8.768452915664607,2.4412817913984206
8.943591364712878,1.7653772976762716
